genres,keywords,original_language,overview,tagline,title,vote_average,combined_text
Comedy,,en,"The Original Kings of Comedy achieves the seemingly impossible task of capturing the rollicking and sly comedy routines of stand-up and sitcom vets Steve Harvey, D.L. Hughley, Cedric the Entertainer, and Bernie Mac and the magic of experiencing a live concert show. Director Spike Lee and his crew plant a multitude of cameras in a packed stadium and onstage (as well as backstage, as they follow the comedians) to catch the vivid immediacy of the show, which is as much about the audience as it is about the jokes.",We Got Jokes,The Original Kings of Comedy,6.3,"The Original Kings of Comedy The Original Kings of Comedy achieves the seemingly impossible task of capturing the rollicking and sly comedy routines of stand-up and sitcom vets Steve Harvey, D.L. Hughley, Cedric the Entertainer, and Bernie Mac and the magic of experiencing a live concert show. Director Spike Lee and his crew plant a multitude of cameras in a packed stadium and onstage (as well as backstage, as they follow the comedians) to catch the vivid immediacy of the show, which is as much about the audience as it is about the jokes. We Got Jokes Comedy "
Action,"blacksmith, brothel, femme fatale, violence, ancient china, crossbow, duringcreditsstinger, lens flare, feudality",en,"In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers.",You can't spell Kung Fu without F and U!,The Man with the Iron Fists,5.2,"The Man with the Iron Fists In feudal China, a blacksmith who makes weapons for a small village is put in the position where he must defend himself and his fellow villagers. You can't spell Kung Fu without F and U! Action blacksmith, brothel, femme fatale, violence, ancient china, crossbow, duringcreditsstinger, lens flare, feudality"
"Comedy, Drama","childhood memory, uniform, independent film, private, tryst",en,"Based on the true childhood experiences of Noah Baumbach and his brother, The Squid and the Whale tells the touching story of two young boys dealing with their parents divorce in Brooklyn in the 1980's.",Joint custody blows.,The Squid and the Whale,6.9,"The Squid and the Whale Based on the true childhood experiences of Noah Baumbach and his brother, The Squid and the Whale tells the touching story of two young boys dealing with their parents divorce in Brooklyn in the 1980's. Joint custody blows. Comedy, Drama childhood memory, uniform, independent film, private, tryst"
"Comedy, Romance","black people, jealousy, parents-in-law, trouble, fiancée",en,"The fiancé of an African-American woman who's met with skepticism and suspicion from her father when she takes him home for the all-important introduction. As the wedding approaches, Dad must come to terms with his future son-in-law.",His house. His rules. Some in-laws were made to be broken.,Guess Who,5.5,"Guess Who The fiancé of an African-American woman who's met with skepticism and suspicion from her father when she takes him home for the all-important introduction. As the wedding approaches, Dad must come to terms with his future son-in-law. His house. His rules. Some in-laws were made to be broken. Comedy, Romance black people, jealousy, parents-in-law, trouble, fiancée"
"Action, Crime, Drama, Thriller","revenge, murder, police corruption, violence, corrupt politician, barber, governer",en,A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer.,I lay my vengeance upon them.,I Am Wrath,4.5,"I Am Wrath A man is out for justice after a group of corrupt police officers are unable to catch his wife's killer. I lay my vengeance upon them. Action, Crime, Drama, Thriller revenge, murder, police corruption, violence, corrupt politician, barber, governer"
"Horror, Thriller, Science Fiction","suicide, male nudity, female nudity, fire, nudity, asylum, telekinesis, high school, swimming pool, party, sequel, murder, prom, teacher, decapitation, blood, splatter, weightlifting, teen suicide, woman director",en,"After the suicide of her only friend, Rachel has never felt more on the outside. The one person who reached out to her, Jessie, also happens to be part of the popular crowd that lives to torment outsiders like her. But Rachel has something else that separates her from the rest, a secret amazing ability to move things with her mind. Sue Snell, the only survivor of Carrie White's rampage twenty-two years ago, may hold the key to helping Rachel come to terms with her awesome, but unwanted power. But as Rachel slowly learns to trust, a terrible trap is being laid for her. And making her angry could prove to be fatal.",Looks Can Kill,The Rage: Carrie 2,5.1,"The Rage: Carrie 2 After the suicide of her only friend, Rachel has never felt more on the outside. The one person who reached out to her, Jessie, also happens to be part of the popular crowd that lives to torment outsiders like her. But Rachel has something else that separates her from the rest, a secret amazing ability to move things with her mind. Sue Snell, the only survivor of Carrie White's rampage twenty-two years ago, may hold the key to helping Rachel come to terms with her awesome, but unwanted power. But as Rachel slowly learns to trust, a terrible trap is being laid for her. And making her angry could prove to be fatal. Looks Can Kill Horror, Thriller, Science Fiction suicide, male nudity, female nudity, fire, nudity, asylum, telekinesis, high school, swimming pool, party, sequel, murder, prom, teacher, decapitation, blood, splatter, weightlifting, teen suicide, woman director"
Drama,"suicide, gambling, manager, alcohol, based on novel, bar, billard, hustler, sport, party, pool, money, game, drunk, player",en,Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match.,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.,The Hustler,7.6,"The Hustler Fast Eddie Felson is a small-time pool hustler with a lot of talent but a self-destructive attitude. His bravado causes him to challenge the legendary Minnesota Fats to a high-stakes match. They called him Fast Eddie. He was a winner. He was a loser. He was a hustler. Drama suicide, gambling, manager, alcohol, based on novel, bar, billard, hustler, sport, party, pool, money, game, drunk, player"
"Comedy, Family","torture, aftercreditsstinger, duringcreditsstinger, 3d",en,The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest.,Just like real spies... only furrier.,Cats & Dogs 2 : The Revenge of Kitty Galore,4.9,"Cats & Dogs 2 : The Revenge of Kitty Galore The ongoing war between the canine and feline species is put on hold when they join forces to thwart a rogue cat spy with her own sinister plans for conquest. Just like real spies... only furrier. Comedy, Family torture, aftercreditsstinger, duringcreditsstinger, 3d"
"Comedy, Drama, Romance","depression, toscana, recreation, author, divorce, woman director",en,"After a rough divoce, Frances, a 35 year old book editor from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted.",Life offers you a thousand chances ... all you have to do is take one.,Under the Tuscan Sun,6.4,"Under the Tuscan Sun After a rough divoce, Frances, a 35 year old book editor from San Francisco takes a tour of Tuscany at the urgings of her friends. On a whim she buys Bramasole, a run down villa in the Tuscan countryside and begins to piece her life together starting with the villa and finds that life sometimes has unexpected ways of giving her everything she wanted. Life offers you a thousand chances ... all you have to do is take one. Comedy, Drama, Romance depression, toscana, recreation, author, divorce, woman director"
"Horror, Thriller","sunrise, winter, vampire, marriage crisis, alaska, based on graphic novel, blizzard, blood lust, polar night",en,"This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction.",They're Coming!,30 Days of Night,6.2,"30 Days of Night This is the story of an isolated Alaskan town that is plunged into darkness for a month each year when the sun sinks below the horizon. As the last rays of light fade, the town is attacked by a bloodthirsty gang of vampires bent on an uninterrupted orgy of destruction. Only the small town's husband-and-wife Sheriff team stand between the survivors and certain destruction. They're Coming! Horror, Thriller sunrise, winter, vampire, marriage crisis, alaska, based on graphic novel, blizzard, blood lust, polar night"
"Drama, Romance","farewell, responsability, dying and death, night shift, daughter, secret love, mother daughter relationship, woman director",en,A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.,,My Life Without Me,7.2,"My Life Without Me A Pedro Almodovar production in which a fatally ill mother with only two months to live creates a list of things she wants to do before she dies with out telling her family of her illness.  Drama, Romance farewell, responsability, dying and death, night shift, daughter, secret love, mother daughter relationship, woman director"
"Drama, Comedy","aunt, duringcreditsstinger",en,"When Madea catches sixteen-year-old Jennifer and her two younger brothers looting her home, she decides to take matters into her own hands and delivers the young delinquents to the only relative they have: their aunt April. A heavy-drinking nightclub singer who lives off of Raymond, her married boyfriend, April wants nothing to do with the kids.",,I Can Do Bad All By Myself,6.0,"I Can Do Bad All By Myself When Madea catches sixteen-year-old Jennifer and her two younger brothers looting her home, she decides to take matters into her own hands and delivers the young delinquents to the only relative they have: their aunt April. A heavy-drinking nightclub singer who lives off of Raymond, her married boyfriend, April wants nothing to do with the kids.  Drama, Comedy aunt, duringcreditsstinger"
"Action, Comedy, Music, Romance, Western","musical, annie oakley, sharpshooter",en,"This film adaptation of Irving Berlin's classic musical stars Betty Hutton as gunslinger Annie Oakley, who romances fellow sharpshooter Frank Butler (Howard Keel) as they travel with Buffalo Bill's Wild West Show. Previously off target when it comes to love, Annie proves you can get a man with a gun in this battle-of-the-sexes extravaganza, which features timeless numbers like ""Anything You Can Do"" and ""There's No Business Like Show Business.""",,Annie Get Your Gun,7.3,"Annie Get Your Gun This film adaptation of Irving Berlin's classic musical stars Betty Hutton as gunslinger Annie Oakley, who romances fellow sharpshooter Frank Butler (Howard Keel) as they travel with Buffalo Bill's Wild West Show. Previously off target when it comes to love, Annie proves you can get a man with a gun in this battle-of-the-sexes extravaganza, which features timeless numbers like ""Anything You Can Do"" and ""There's No Business Like Show Business.""  Action, Comedy, Music, Romance, Western musical, annie oakley, sharpshooter"
Comedy,"profession, karate, daughter, beförderung, ex-wife, parking, slap",en,"When underappreciated video specialist Joe Scheffer is brutally humiliated by the office bully Mark McKinney in front of his daughter, Joe begins a quest for personal redemption. He proceeds by enduring a personal make-over and takes martial arts lessons from a B-action star. As news spreads of his rematch with Mark, Joe suddenly finds himself the center of attention, ascending the corporate ladder and growing in popularity. He's determined to show everyone in his life that he is not a nobody, but a force to be reckoned with.",Someone just picked on the wrong nobody.,Joe Somebody,5.5,"Joe Somebody When underappreciated video specialist Joe Scheffer is brutally humiliated by the office bully Mark McKinney in front of his daughter, Joe begins a quest for personal redemption. He proceeds by enduring a personal make-over and takes martial arts lessons from a B-action star. As news spreads of his rematch with Mark, Joe suddenly finds himself the center of attention, ascending the corporate ladder and growing in popularity. He's determined to show everyone in his life that he is not a nobody, but a force to be reckoned with. Someone just picked on the wrong nobody. Comedy profession, karate, daughter, beförderung, ex-wife, parking, slap"
Drama,"judge, jurors, sultriness, death penalty, father murder, puerto rican, anonymity, court case, heat, group, class, innocence, court, courtroom",en,"The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other.",Life is in their hands. Death is on their minds.,12 Angry Men,8.2,"12 Angry Men The defense and the prosecution have rested and the jury is filing into the jury room to decide if a young Spanish-American is guilty or innocent of murdering his father. What begins as an open and shut case soon becomes a mini-drama of each of the jurors' prejudices and preconceptions about the trial, the accused, and each other. Life is in their hands. Death is on their minds. Drama judge, jurors, sultriness, death penalty, father murder, puerto rican, anonymity, court case, heat, group, class, innocence, court, courtroom"
"Drama, Thriller","journalist, biography, internet, information leak, activist",en,"A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends.",You can't expose the world's secrets without exposing yourself,The Fifth Estate,5.7,"The Fifth Estate A look at the relationship between WikiLeaks founder Julian Assange and his early supporter and eventual colleague Daniel Domscheit-Berg, and how the website's growth and influence led to an irreparable rift between the two friends. You can't expose the world's secrets without exposing yourself Drama, Thriller journalist, biography, internet, information leak, activist"
"Action, Thriller, War","gun, oil, secret service, woman director, mina",en,"Mina, a young college student, has her life ripped away after her family is killed. When she finds out their murder was part of a botched kidnapping to return her to her real father—a terrorist in the middle east.",,Born Of War,4.1,"Born Of War Mina, a young college student, has her life ripped away after her family is killed. When she finds out their murder was part of a botched kidnapping to return her to her real father—a terrorist in the middle east.  Action, Thriller, War gun, oil, secret service, woman director, mina"
Drama,"world war ii, book, nazi germany, jewish",en,"While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refuge is being sheltered by her adoptive parents.",Courage beyond words.,The Book Thief,7.4,"The Book Thief While subjected to the horrors of WWII Germany, young Liesel finds solace by stealing books and sharing them with others. Under the stairs in her home, a Jewish refuge is being sheltered by her adoptive parents. Courage beyond words. Drama world war ii, book, nazi germany, jewish"
"Action, Fantasy","supernatural, father daughter relationship, incubus",en,"Invisible forces exert power over us in our sleep. A mercenary named Ink, on a literal nightmare mission, captures the spirit of 8-year-old Emma in the dream world. To save her, the dream-givers marshal all their resources, focusing on saving the soul of Emma's tragically broken father.",dreams,Ink,6.4,"Ink Invisible forces exert power over us in our sleep. A mercenary named Ink, on a literal nightmare mission, captures the spirit of 8-year-old Emma in the dream world. To save her, the dream-givers marshal all their resources, focusing on saving the soul of Emma's tragically broken father. dreams Action, Fantasy supernatural, father daughter relationship, incubus"
"Drama, Thriller","sexual abuse, cult, boundary violations, mumblegore",en,"After several years of living with a cult, Martha finally escapes and calls her estranged sister, Lucy, for help. Martha finds herself at the quiet Connecticut home Lucy shares with her new husband, Ted, but the memories of what she experienced in the cult make peace hard to find. As flashbacks continue to torment her, Martha fails to shake a terrible sense of dread, especially in regard to the cult's manipulative leader.",You can get away. But you can never escape.,Martha Marcy May Marlene,6.7,"Martha Marcy May Marlene After several years of living with a cult, Martha finally escapes and calls her estranged sister, Lucy, for help. Martha finds herself at the quiet Connecticut home Lucy shares with her new husband, Ted, but the memories of what she experienced in the cult make peace hard to find. As flashbacks continue to torment her, Martha fails to shake a terrible sense of dread, especially in regard to the cult's manipulative leader. You can get away. But you can never escape. Drama, Thriller sexual abuse, cult, boundary violations, mumblegore"
Drama,"killing, death penalty, kansas, author, murder hunt",en,"While researching his book In Cold Blood, writer Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith.",There's more to the story than you know,Infamous,6.4,"Infamous While researching his book In Cold Blood, writer Truman Capote develops a close relationship with convicted murderers Dick Hickock and Perry Smith. There's more to the story than you know Drama killing, death penalty, kansas, author, murder hunt"
Drama,"male nudity, female nudity, adultery, midlife crisis, coming out, first time, camcorder, virgin, nudity, film maker, estate agent, satire, loneliness, dark comedy, suburbia, coming of age, marijuana, exercise, parent child relationship, bittersweet, affair",en,"Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend.",Look closer.,American Beauty,7.9,"American Beauty Lester Burnham, a depressed suburban father in a mid-life crisis, decides to turn his hectic life around after developing an infatuation with his daughter's attractive friend. Look closer. Drama male nudity, female nudity, adultery, midlife crisis, coming out, first time, camcorder, virgin, nudity, film maker, estate agent, satire, loneliness, dark comedy, suburbia, coming of age, marijuana, exercise, parent child relationship, bittersweet, affair"
"Action, Adventure, Thriller, War","competition, submachine gun, soviet union, liberation, russian, soviet troops, thailand, freedom fighter, afghanistan, war on freedom, machinegun, mujahid, reality show, western, japanese food, soap opera",en,"Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured.",The first was for himself. The second for his country. This time it's to save his friend.,Rambo III,5.7,"Rambo III Combat has taken its toll on Rambo, but he's finally begun to find inner peace in a monastery. When Rambo's friend and mentor Col. Trautman asks for his help on a top secret mission to Afghanistan, Rambo declines but must reconsider when Trautman is captured. The first was for himself. The second for his country. This time it's to save his friend. Action, Adventure, Thriller, War competition, submachine gun, soviet union, liberation, russian, soviet troops, thailand, freedom fighter, afghanistan, war on freedom, machinegun, mujahid, reality show, western, japanese food, soap opera"
"Drama, Comedy","exzentrik, independent film, reporter, ex-wife, spectacle",en,"The career and personal life of writer Lee are at a standstill, so he divorces his bashful wife, Robin, and dives into a new job as an entertainment journalist. His assignments take him to the swankiest corners of Manhattan, but as he jumps from one lavish party to another and engages in numerous empty romances, he starts to doubt the worth of his work. Meanwhile, top TV producer Tony falls for Robin and introduces her to the world of celebrity.",A funny look at people who will do anything to get famous... or stay famous.,Celebrity,6.0,"Celebrity The career and personal life of writer Lee are at a standstill, so he divorces his bashful wife, Robin, and dives into a new job as an entertainment journalist. His assignments take him to the swankiest corners of Manhattan, but as he jumps from one lavish party to another and engages in numerous empty romances, he starts to doubt the worth of his work. Meanwhile, top TV producer Tony falls for Robin and introduces her to the world of celebrity. A funny look at people who will do anything to get famous... or stay famous. Drama, Comedy exzentrik, independent film, reporter, ex-wife, spectacle"
"Comedy, War","vietnam veteran, commercial, advertising expert, kaserne, stau, soldier, unemployment, woman director, teachers and students",en,"Danny DeVito plays an advertising man who is slowly sliding downhill. When he is fired from his job in Detroit, he signs up for unemployment. One day they find him a job; Teaching thinking skills to Army recruits. He arrives on base to find that there is no structure set up for the class.","One Man's Mission To Teach The Few, The Proud... The Impossible!",Renaissance Man,5.9,"Renaissance Man Danny DeVito plays an advertising man who is slowly sliding downhill. When he is fired from his job in Detroit, he signs up for unemployment. One day they find him a job; Teaching thinking skills to Army recruits. He arrives on base to find that there is no structure set up for the class. One Man's Mission To Teach The Few, The Proud... The Impossible! Comedy, War vietnam veteran, commercial, advertising expert, kaserne, stau, soldier, unemployment, woman director, teachers and students"
"Action, Comedy, Thriller",,en,Two aspiring boxers lifelong friends get involved in a money-laundering scheme through a low-level organized crime group.,Welcome to disorganized crime.,Made,6.3,"Made Two aspiring boxers lifelong friends get involved in a money-laundering scheme through a low-level organized crime group. Welcome to disorganized crime. Action, Comedy, Thriller "
Drama,"biography, historical figure, princess, drama, based on true story",en,"Lush scenery and gorgeous photography highlight this bio of Princess Kaiulani (Q'Orianka Kilcher), a 19th-century Hawaiian princess raised in England but determined to maintain her people's independence from aggressive American businessmen. After being sent to England as a child by her Scottish father, Kaiulani returns to Hawaii and becomes a political activist who fights to retain her throne, even though she must leave her English paramour.",Her heart was torn between love and the future of Hawaii...,Princess Kaiulani,4.8,"Princess Kaiulani Lush scenery and gorgeous photography highlight this bio of Princess Kaiulani (Q'Orianka Kilcher), a 19th-century Hawaiian princess raised in England but determined to maintain her people's independence from aggressive American businessmen. After being sent to England as a child by her Scottish father, Kaiulani returns to Hawaii and becomes a political activist who fights to retain her throne, even though she must leave her English paramour. Her heart was torn between love and the future of Hawaii... Drama biography, historical figure, princess, drama, based on true story"
"Thriller, Crime, Drama",,en,A desperate ex-con is forced to gather his old crew for one last job to pay off his sister's debt to a dangerous local criminal.,,Dutch Kills,0.0,"Dutch Kills A desperate ex-con is forced to gather his old crew for one last job to pay off his sister's debt to a dangerous local criminal.  Thriller, Crime, Drama "
"Comedy, Horror","civil war, narration, voodoo, necrophilia, anthology, librarian, freak show",en,"The uncle of an executed murderess relates four stories of his hometown, Oldfield, to a reporter. In the first, an elderly man pursues a romance with a younger woman, even to the grave and beyond. In the second, a wounded man on the run from creditors is rescued by a backwoods hermit who holds the secret to eternal life. In the third, a glass-eating carny pays the ultimate price for looking for love on the outside. And in the fourth, a group of Civil War soldiers are held captive by a household of orphans with strange intentions for them.",Welcome to Oldfield. Stop in for a night of pure terror.,From a Whisper to a Scream,6.8,"From a Whisper to a Scream The uncle of an executed murderess relates four stories of his hometown, Oldfield, to a reporter. In the first, an elderly man pursues a romance with a younger woman, even to the grave and beyond. In the second, a wounded man on the run from creditors is rescued by a backwoods hermit who holds the secret to eternal life. In the third, a glass-eating carny pays the ultimate price for looking for love on the outside. And in the fourth, a group of Civil War soldiers are held captive by a household of orphans with strange intentions for them. Welcome to Oldfield. Stop in for a night of pure terror. Comedy, Horror civil war, narration, voodoo, necrophilia, anthology, librarian, freak show"
"Science Fiction, Adventure, Action","future, time machine",en,"Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races.",The greatest adventure THROUGH all time!,The Time Machine,5.8,"The Time Machine Hoping to alter the events of the past, a 19th century inventor instead travels 800,000 years into the future, where he finds humankind divided into two warring races. The greatest adventure THROUGH all time! Science Fiction, Adventure, Action future, time machine"
